,ROC-AUC,F1-score,PR-AUC,Brier Score,Recall
A1: Logistic Regression,0.842,0.255,0.369,0.05,0.16
A1: Random Forest,0.834,0.242,0.354,0.051,0.155
A1: XGBoost,0.859,0.277,0.361,0.052,0.188
A1: LightGBM,0.87,0.279,0.396,0.049,0.182
A2: LightGBM+features,0.87,0.273,0.397,0.049,0.177
A3: Class weights,0.869,0.352,0.404,0.135,0.773
A3: SMOTE,0.829,0.356,0.297,0.077,0.423
A4: Platt scaling,0.858,0.0,0.393,0.05,0.0
A4: Isotonic,0.858,0.246,0.393,0.049,0.154
A5: Voting,0.857,0.383,0.389,0.058,0.309
A5: Stacking,0.857,0.259,0.391,0.049,0.163
A6: F1 threshold,0.858,0.431,0.393,0.049,0.51
A6: Business threshold,0.858,0.367,0.393,0.049,0.689
